Timestamp (S),Arc Main Current (A),Arc Main Voltage (V),Arc Main Energy (J),Arc UART (TXT)
0,0.000104,3.003,7.8078e-08,
0.00025,0.000104,,1.56156e-07,
0.0005,0.000104,,2.34234e-07,
0.00075,0.000104,,3.12312e-07,
0.001,0.000104,3.003,3.9039e-07,
0.00125,0.000104,,4.68442e-07,
0.0015,0.000104,,5.46494e-07,
0.00175,0.000104,,6.24546e-07,
0.002,0.000104,3.003,7.02598e-07,
0.00225,0.000104,,7.8065e-07,
0.0025,0.000104,,8.58702e-07,
0.00275,0.000104,,9.36754e-07,
0.003,0.000104,3.002,1.014806e-06,
0.00325,0.000104,,1.092858e-06,
0.0035,0.000104,,1.17091e-06,
0.00375,0.000104,,1.248962e-06,
0.004,0.000104,3.002,1.327014e-06,
0.00425,8.35e-05,,1.389681e-06,
0.0045,6.3e-05,,1.436962e-06,
0.00475,4.25e-05,,1.468859e-06,
0.005,2.2e-05,3.002,1.48537e-06,
0.00525,4.25e-05,,1.517266e-06,
0.0055,6.3e-05,,1.564547e-06,
0.00575,8.35e-05,,1.627214e-06,
0.006,0.000104,3.002,1.705266e-06,
0.00625,0.000104,,1.783318e-06,
0.0065,0.000104,,1.86137e-06,
0.00675,0.000104,,1.939422e-06,
0.007,0.000104,3.002,2.017474e-06,
0.00725,0.000104,,2.095552e-06,
0.0075,0.000104,,2.17363e-06,
0.00775,0.000104,,2.251708e-06,
0.008,0.000104,3.002,2.329786e-06,
0.00825,0.000104,,2.407864e-06,
0.0085,0.000104,,2.485942e-06,
0.00875,0.000104,,2.56402e-06,
0.009,0.000104,3.003,2.642098e-06,
0.00925,8.35e-05,,2.704765e-06,
0.0095,6.3e-05,,2.752046e-06,
0.00975,4.25e-05,,2.783942e-06,
0.01,2.2e-05,3.003,2.800453e-06,
0.01025,4.25e-05,,2.83236e-06,
0.0105,6.3e-05,,2.879658e-06,
0.01075,8.35e-05,,2.942345e-06,
0.011,0.000104,3.002,3.020423e-06,
0.01125,0.000104,,3.098501e-06,
0.0115,0.000104,,3.176579e-06,
0.01175,0.000104,,3.254657e-06,
0.012,0.000104,3.003,3.332735e-06,
0.01225,8.35e-05,,3.395423e-06,
0.0125,6.3e-05,,3.44272e-06,
0.01275,4.25e-05,,3.474627e-06,
0.013,2.2e-05,3.003,3.491143e-06,
0.01325,2.2e-05,,3.507665e-06,
0.0135,2.2e-05,,3.524187e-06,
0.01375,2.2e-05,,3.540709e-06,
0.014,2.2e-05,3.003,3.557231e-06,
0.01425,2.2e-05,,3.573748e-06,
0.0145,2.2e-05,,3.590264e-06,
0.01475,2.2e-05,,3.606781e-06,
0.015,2.2e-05,3.004,3.623297e-06,
0.01525,4.25e-05,,3.655204e-06,
0.0155,6.3e-05,,3.702502e-06,
0.01575,8.35e-05,,3.765189e-06,
0.016,0.000104,3.003,3.843267e-06,
0.01625,0.000104,,3.921319e-06,
0.0165,0.000104,,3.999371e-06,
0.01675,0.000104,,4.077423e-06,
0.017,0.000104,3.003,4.155475e-06,
0.01725,0.000104,,4.233527e-06,
0.0175,0.000104,,4.311579e-06,
0.01775,0.000104,,4.389631e-06,
0.018,0.000104,3.002,4.467683e-06,
0.01825,0.000104,,4.545735e-06,
0.0185,0.000104,,4.623787e-06,
0.01875,0.000104,,4.701839e-06,
0.019,0.000104,3.002,4.779891e-06,
0.01925,0.000104,,4.857969e-06,
0.0195,0.000104,,4.936047e-06,
0.01975,0.000104,,5.014125e-06,
0.02,0.000104,3.002,5.092203e-06,
0.02025,0.000104,,5.170281e-06,
0.0205,0.000104,,5.248359e-06,
0.02075,0.000104,,5.326437e-06,
0.021,0.000104,3.003,5.404515e-06,
0.02125,0.000104,,5.482593e-06,
0.0215,0.000104,,5.560671e-06,
0.02175,0.000104,,5.638749e-06,
0.022,0.000104,3.003,5.716827e-06,
0.02225,8.35e-05,,5.779494e-06,
0.0225,6.3e-05,,5.826775e-06,
0.02275,4.25e-05,,5.858672e-06,
0.023,2.2e-05,3.003,5.875183e-06,
0.02325,6.3e-05,,5.92248e-06,
0.0235,0.000104,,6.000558e-06,
0.02375,0.000145,,6.109417e-06,
0.024,0.000186,3.002,6.249056e-06,
0.02425,0.000145,,6.357915e-06,
0.0245,0.000104,,6.435993e-06,
0.02475,6.3e-05,,6.48329e-06,
0.025,2.2e-05,3.003,6.499807e-06,
0.02525,4.25e-05,,6.531714e-06,
0.0255,6.3e-05,,6.579011e-06,
0.02575,8.35e-05,,6.641698e-06,
0.026,0.000104,3.003,6.719776e-06,
0.02625,8.35e-05,,6.782464e-06,
0.0265,6.3e-05,,6.829761e-06,
0.02675,4.25e-05,,6.861668e-06,
0.027,2.2e-05,3.003,6.878185e-06,
0.02725,4.25e-05,,6.910081e-06,
0.0275,6.3e-05,,6.957362e-06,
0.02775,8.35e-05,,7.020029e-06,
0.028,0.000104,3.003,7.098081e-06,
0.02825,8.35e-05,,7.160769e-06,
0.0285,6.3e-05,,7.208066e-06,
0.02875,4.25e-05,,7.239973e-06,
0.029,2.2e-05,3.002,7.256489e-06,
0.02925,2.2e-05,,7.273e-06,
0.0295,2.2e-05,,7.289511e-06,
0.02975,2.2e-05,,7.306022e-06,
0.03,2.2e-05,3.003,7.322533e-06,
0.03025,4.25e-05,,7.35443e-06,
0.0305,6.3e-05,,7.401711e-06,
0.03075,8.35e-05,,7.464378e-06,
0.031,0.000104,3.002,7.54243e-06,
0.03125,0.000104,,7.620508e-06,
0.0315,0.000104,,7.698586e-06,
0.03175,0.000104,,7.776664e-06,
0.032,0.000104,3.002,7.854742e-06,
0.03225,8.35e-05,,7.917409e-06,
0.0325,6.3e-05,,7.96469e-06,
0.03275,4.25e-05,,7.996586e-06,
0.033,2.2e-05,3.003,8.013097e-06,
0.03325,4.25e-05,,8.045004e-06,
0.0335,6.3e-05,,8.092302e-06,
0.03375,8.35e-05,,8.154989e-06,
0.034,0.000104,3.002,8.233067e-06,
0.03425,8.35e-05,,8.295734e-06,
0.0345,6.3e-05,,8.343015e-06,
0.03475,4.25e-05,,8.374912e-06,
0.035,2.2e-05,3.003,8.391423e-06,
0.03525,4.25e-05,,8.42333e-06,
0.0355,6.3e-05,,8.470627e-06,
0.03575,8.35e-05,,8.533314e-06,
0.036,0.000104,3.002,8.611392e-06,
0.03625,8.35e-05,,8.67408e-06,
0.0365,6.3e-05,,8.721377e-06,
0.03675,4.25e-05,,8.753284e-06,
0.037,2.2e-05,3.003,8.769801e-06,
0.03725,6.3e-05,,8.817082e-06,
0.0375,0.000104,,8.895134e-06,
0.03775,0.000145,,9.003957e-06,
0.038,0.000186,3.003,9.14355e-06,
0.03825,0.000145,,9.252408e-06,
0.0385,0.000104,,9.330486e-06,
0.03875,6.3e-05,,9.377784e-06,
0.039,2.2e-05,3.002,9.3943e-06,
0.03925,2.2e-05,,9.410817e-06,
0.0395,2.2e-05,,9.427333e-06,
0.03975,2.2e-05,,9.44385e-06,
0.04,2.2e-05,3.003,9.460366e-06,
0.04025,4.25e-05,,9.492273e-06,
0.0405,6.3e-05,,9.53957e-06,
0.04075,8.35e-05,,9.602258e-06,
0.041,0.000104,3.003,9.680336e-06,
0.04125,8.35e-05,,9.743024e-06,
0.0415,6.3e-05,,9.790321e-06,
0.04175,4.25e-05,,9.822228e-06,
0.042,2.2e-05,3.003,9.838744e-06,
0.04225,2.2e-05,,9.855255e-06,
0.0425,2.2e-05,,9.871766e-06,
0.04275,2.2e-05,,9.888277e-06,
0.043,2.2e-05,3.003,9.904788e-06,
0.04325,2.2e-05,,9.921305e-06,
0.0435,2.2e-05,,9.937821e-06,
0.04375,2.2e-05,,9.954338e-06,
0.044,2.2e-05,3.002,9.970854e-06,
0.04425,2.2e-05,,9.987371e-06,
0.0445,2.2e-05,,1.000389e-05,
0.04475,2.2e-05,,1.00204e-05,
0.045,2.2e-05,3.003,1.003692e-05,
0.04525,2.2e-05,,1.005343e-05,
0.0455,2.2e-05,,1.006994e-05,
0.04575,2.2e-05,,1.008645e-05,
0.046,2.2e-05,3.003,1.010296e-05,
0.04625,6.3e-05,,1.015025e-05,
0.0465,0.000104,,1.02283e-05,
0.04675,0.000145,,1.033712e-05,
0.047,0.000186,3.002,1.047671e-05,
0.04725,0.0001655,,1.060092e-05,
0.0475,0.000145,,1.070974e-05,
0.04775,0.0001245,,1.080318e-05,
0.048,0.000104,3.002,1.088123e-05,
0.04825,0.000104,,1.095928e-05,
0.0485,0.000104,,1.103734e-05,
0.04875,0.000104,,1.111539e-05,
0.049,0.000104,3.002,1.119344e-05,
0.04925,0.000104,,1.127149e-05,
0.0495,0.000104,,1.134954e-05,
0.04975,0.000104,,1.14276e-05,
0.05,0.000104,3.002,1.150565e-05,
0.05025,8.35e-05,,1.156834e-05,
0.0505,6.3e-05,,1.161563e-05,
0.05075,4.25e-05,,1.164754e-05,
0.051,2.2e-05,3.002,1.166406e-05,
0.05125,6.3e-05,,1.171135e-05,
0.0515,0.000104,,1.178943e-05,
0.05175,0.000145,,1.189829e-05,
0.052,0.000186,3.003,1.203793e-05,
0.05225,0.000145,,1.214679e-05,
0.0525,0.000104,,1.222487e-05,
0.05275,6.3e-05,,1.227216e-05,
0.053,2.2e-05,3.003,1.228868e-05,
0.05325,4.25e-05,,1.232058e-05,
0.0535,6.3e-05,,1.236786e-05,
0.05375,8.35e-05,,1.243053e-05,
0.054,0.000104,3.003,1.250858e-05,
0.05425,0.000104,,1.258663e-05,
0.0545,0.000104,,1.266468e-05,
0.05475,0.000104,,1.274273e-05,
0.055,0.000104,3.002,1.282079e-05,
0.05525,0.000104,,1.289884e-05,
0.0555,0.000104,,1.297689e-05,
0.05575,0.000104,,1.305494e-05,
0.056,0.000104,3.002,1.313299e-05,
0.05625,8.35e-05,,1.319568e-05,
0.0565,6.3e-05,,1.324298e-05,
0.05675,4.25e-05,,1.327489e-05,
0.057,2.2e-05,3.002,1.32914e-05,
0.05725,2.2e-05,,1.330792e-05,
0.0575,2.2e-05,,1.332443e-05,
0.05775,2.2e-05,,1.334095e-05,
0.058,2.2e-05,3.003,1.335747e-05,
0.05825,2.2e-05,,1.337398e-05,
0.0585,2.2e-05,,1.33905e-05,
0.05875,2.2e-05,,1.340702e-05,
0.059,2.2e-05,3.003,1.342353e-05,
0.05925,2.2e-05,,1.344005e-05,
0.0595,2.2e-05,,1.345657e-05,
0.05975,2.2e-05,,1.347308e-05,
0.06,2.2e-05,3.003,1.34896e-05,
0.06025,4.25e-05,,1.35215e-05,
0.0605,6.3e-05,,1.356878e-05,
0.06075,8.35e-05,,1.363144e-05,
0.061,0.000104,3.003,1.37095e-05,
0.06125,8.35e-05,,1.377216e-05,
0.0615,6.3e-05,,1.381944e-05,
0.06175,4.25e-05,,1.385134e-05,
0.062,2.2e-05,3.002,1.386785e-05,
0.06225,2.2e-05,,1.388437e-05,
0.0625,2.2e-05,,1.390088e-05,
0.06275,2.2e-05,,1.39174e-05,
0.063,2.2e-05,3.002,1.393392e-05,
0.06325,4.25e-05,,1.396582e-05,
0.0635,6.3e-05,,1.401312e-05,
0.06375,8.35e-05,,1.407581e-05,
0.064,0.000104,3.003,1.415389e-05,
0.06425,8.35e-05,,1.421658e-05,
0.0645,6.3e-05,,1.426387e-05,
0.06475,4.25e-05,,1.429578e-05,
0.065,2.2e-05,3.003,1.43123e-05,
0.06525,4.25e-05,,1.434419e-05,
0.0655,6.3e-05,,1.439147e-05,
0.06575,8.35e-05,,1.445414e-05,
0.066,0.000104,3.003,1.453219e-05,
0.06625,0.0001245,,1.462566e-05,
0.0665,0.000145,,1.473452e-05,
0.06675,0.0001655,,1.485877e-05,
0.067,0.000186,3.002,1.499841e-05,
0.06725,0.000145,,1.510727e-05,
0.0675,0.000104,,1.518534e-05,
0.06775,6.3e-05,,1.523264e-05,
0.068,2.2e-05,3.003,1.524916e-05,
0.06825,4.25e-05,,1.528107e-05,
0.0685,6.3e-05,,1.532836e-05,
0.06875,8.35e-05,,1.539105e-05,
0.069,0.000104,3.003,1.546913e-05,
0.06925,0.000104,,1.554721e-05,
