Timestamp (S),Arc Main Current (A),Arc Main Voltage (V),Arc Main Energy (J),Arc UART (TXT)
0,0.000186,2.997,1.393605e-07,
0.00025,0.000186,,2.78721e-07,
0.0005,0.000186,,4.180815e-07,
0.00075,0.000186,,5.57442e-07,
0.001,0.000186,2.997,6.968025e-07,
0.00125,0.000145,,8.054438e-07,
0.0015,0.000104,,8.833658e-07,
0.00175,6.3e-05,,9.305685e-07,
0.002,2.2e-05,2.997,9.47052e-07,
0.00225,6.3e-05,,9.942705e-07,
0.0025,0.000104,,1.072219e-06,
0.00275,0.000145,,1.180896e-06,
0.003,0.000186,2.998,1.320303e-06,
0.00325,0.0001655,,1.444304e-06,
0.0035,0.000145,,1.552945e-06,
0.00375,0.0001245,,1.646227e-06,
0.004,0.000104,2.997,1.724149e-06,
0.00425,0.000104,,1.802097e-06,
0.0045,0.000104,,1.880045e-06,
0.00475,0.000104,,1.957993e-06,
0.005,0.000104,2.998,2.035941e-06,
0.00525,0.000104,,2.113863e-06,
0.0055,0.000104,,2.191785e-06,
0.00575,0.000104,,2.269707e-06,
0.006,0.000104,2.997,2.347629e-06,
0.00625,0.0001245,,2.440941e-06,
0.0065,0.000145,,2.549619e-06,
0.00675,0.0001655,,2.673661e-06,
0.007,0.000186,2.998,2.813068e-06,
0.00725,0.0001655,,2.937069e-06,
0.0075,0.000145,,3.04571e-06,
0.00775,0.0001245,,3.138992e-06,
0.008,0.000104,2.997,3.216914e-06,
0.00825,0.0001245,,3.310227e-06,
0.0085,0.000145,,3.418904e-06,
0.00875,0.0001655,,3.542946e-06,
0.009,0.000186,2.998,3.682353e-06,
0.00925,0.0001655,,3.806396e-06,
0.0095,0.000145,,3.915073e-06,
0.00975,0.0001245,,4.008386e-06,
0.01,0.000104,2.998,4.086334e-06,
0.01025,0.0001245,,4.179616e-06,
0.0105,0.000145,,4.288257e-06,
0.01075,0.0001655,,4.412258e-06,
0.011,0.000186,2.997,4.551618e-06,
