"Timestamp (S)","Arc Main Current (A)","Arc Main Voltage (V)","Arc Main Energy (J)","Arc UART (TXT)"
"0","2.2e-05","3.002","1.6511e-08",""
"0.00025","4.25e-05","","4.841788e-08",""
"0.0005","6.3e-05","","9.571512e-08",""
"0.00075","8.35e-05","","1.584028e-07",""
"0.001","0.000104","3.003","2.364807e-07",""
"0.00125","0.00014475","","3.451156e-07",""
"0.0015","0.0001855","","4.843334e-07",""
"0.00175","0.00022625","","6.54134e-07",""
"0.002","0.000267","3.002","8.545175e-07",""
"0.00225","0.000267","","1.054901e-06",""
"0.0025","0.000267","","1.255285e-06",""
"0.00275","0.000267","","1.455668e-06",""
"0.003","0.000267","3.002","1.656052e-06",""
"0.00325","0.00022625","","1.825852e-06",""
"0.0035","0.0001855","","1.96507e-06",""
"0.00375","0.00014475","","2.073705e-06",""
"0.004","0.000104","3.002","2.151757e-06",""
"0.00425","0.000104","","2.229809e-06",""
"0.0045","0.000104","","2.307861e-06",""
"0.00475","0.000104","","2.385913e-06",""
"0.005","0.000104","3.002","2.463965e-06",""
"0.00525","0.000104","","2.542043e-06",""
"0.0055","0.000104","","2.620121e-06",""
"0.00575","0.000104","","2.698199e-06",""
"0.006","0.000104","3.003","2.776277e-06",""
"0.00625","0.0001245","","2.869745e-06",""
"0.0065","0.000145","","2.978604e-06",""
"0.00675","0.0001655","","3.102853e-06",""
"0.007","0.000186","3.003","3.242492e-06",""
"0.00725","0.000186","","3.382085e-06",""
"0.0075","0.000186","","3.521678e-06",""
"0.00775","0.000186","","3.661271e-06",""
"0.008","0.000186","3.002","3.800864e-06",""
"0.00825","0.000186","","3.940457e-06",""
"0.0085","0.000186","","4.08005e-06",""
"0.00875","0.000186","","4.219643e-06",""
"0.009","0.000186","3.002","4.359236e-06",""
"0.00925","0.0001655","","4.483486e-06",""
"0.0095","0.000145","","4.592344e-06",""
"0.00975","0.0001245","","4.685813e-06",""
"0.01","0.000104","3.003","4.763891e-06",""
"0.01025","0.0001245","","4.857359e-06",""
"0.0105","0.000145","","4.966218e-06",""
"0.01075","0.0001655","","5.090467e-06",""
"0.011","0.000186","3.003","5.230106e-06",""
"0.01125","0.000186","","5.369699e-06",""
"0.0115","0.000186","","5.509292e-06",""
"0.01175","0.000186","","5.648885e-06",""
"0.012","0.000186","3.002","5.788478e-06",""
"0.01225","0.0001655","","5.912686e-06",""
"0.0125","0.000145","","6.021509e-06",""
"0.01275","0.0001245","","6.114946e-06",""
"0.013","0.000104","3.002","6.192998e-06",""
"0.01325","0.000104","","6.27105e-06",""
"0.0135","0.000104","","6.349102e-06",""
"0.01375","0.000104","","6.427154e-06",""
"0.014","0.000104","3.002","6.505206e-06",""
"0.01425","0.000104","","6.583258e-06",""
"0.0145","0.000104","","6.66131e-06",""
"0.01475","0.000104","","6.739362e-06",""
"0.015","0.000104","3.002","6.817414e-06",""
"0.01525","0.0001245","","6.910851e-06",""
"0.0155","0.000145","","7.019674e-06",""
