"Timestamp (S)","Arc Main Current (A)","Arc Main Voltage (V)","Arc Main Energy (J)","Arc UART (TXT)"
"0","7e-05","3.002","5.2535e-08",""
"0.00025","7e-05","","1.0507e-07",""
"0.0005","7e-05","","1.57605e-07",""
"0.00075","7e-05","","2.101225e-07",""
"0.001","7e-05","3.002","2.6264e-07",""
"0.00125","7e-05","","3.151575e-07",""
"0.0015","7e-05","","3.67675e-07",""
"0.00175","7e-05","","4.201925e-07",""
"0.002","7e-05","3.001","4.7271e-07",""
"0.00225","7e-05","","5.252275e-07",""
"0.0025","7e-05","","5.77745e-07",""
"0.00275","4.95e-05","","6.148948e-07",""
"0.003","2.9e-05","3.001","6.366593e-07",""
"0.00325","8.5e-06","","6.430385e-07",""
"0.0035","-1.2e-05","","6.340325e-07",""
"0.00375","2.9e-05","","6.55797e-07",""
"0.004","7e-05","3.002","7.08332e-07",""
"0.00425","0.000111","","7.916375e-07",""
"0.0045","0.000152","","9.057135e-07",""
"0.00475","9.05e-05","","9.736338e-07",""
"0.005","2.9e-05","3.002","9.953983e-07",""
"0.00525","-3.25e-05","","9.71007e-07",""
"0.0055","-9.4e-05","","9.0046e-07",""
"0.00575","-3.25e-05","","8.760688e-07",""
"0.006","2.9e-05","3.002","8.978333e-07",""
"0.00625","9.05e-05","","9.657535e-07",""
"0.0065","0.000152","","1.079829e-06",""
"0.00675","0.000111","","1.163135e-06",""
"0.007","7e-05","3.002","1.21567e-06",""
"0.00725","2.9e-05","","1.237434e-06",""
"0.0075","-1.2e-05","","1.228428e-06",""
"0.00775","8.5e-06","","1.234808e-06",""
"0.008","2.9e-05","3.002","1.256572e-06",""
"0.00825","4.95e-05","","1.293722e-06",""
"0.0085","7e-05","","1.346257e-06",""
"0.00875","7e-05","","1.398792e-06",""
"0.009","7e-05","3.002","1.451327e-06",""
"0.00925","7e-05","","1.503862e-06",""
"0.0095","7e-05","","1.556397e-06",""
"0.00975","7e-05","","1.608932e-06",""
"0.01","7e-05","3.002","1.661467e-06",""
"0.01025","7e-05","","1.714002e-06",""
"0.0105","7e-05","","1.766537e-06",""
"0.01075","7e-05","","1.819072e-06",""
"0.011","7e-05","3.002","1.871607e-06",""
"0.01125","7e-05","","1.924142e-06",""
"0.0115","7e-05","","1.976677e-06",""
"0.01175","7e-05","","2.029212e-06",""
"0.012","7e-05","3.002","2.081747e-06",""
"0.01225","7e-05","","2.134282e-06",""
"0.0125","7e-05","","2.186817e-06",""
"0.01275","9.05e-05","","2.254737e-06",""
