"Timestamp (S)","Arc Main Current (A)","Arc Main Voltage (V)","Arc Main Energy (J)"
"0","0.004115","3.002","3.088308e-06"
"0.00025","0.004115","","6.176615e-06"
"0.0005","0.004115","","9.264923e-06"
"0.00075","0.004115","","1.235323e-05"
"0.001","0.004115","3.002","1.544154e-05"
"0.00125","0.004115","","1.852985e-05"
"0.0015","0.004115","","2.161815e-05"
"0.00175","0.004115","","2.470646e-05"
"0.002","0.004115","3.002","2.779477e-05"
"0.00225","0.004115","","3.088308e-05"
"0.0025","0.004115","","3.397138e-05"
"0.00275","0.004115","","3.705969e-05"
"0.003","0.004115","3.002","4.0148e-05"
"0.00325","0.004115","","4.323631e-05"
"0.0035","0.004115","","4.632461e-05"
"0.00375","0.004115","","4.941292e-05"
"0.004","0.004115","3.002","5.250123e-05"
"0.00425","0.004115","","5.558954e-05"
"0.0045","0.004115","","5.867784e-05"
"0.00475","0.004115","","6.176615e-05"
"0.005","0.004115","3.002","6.485446e-05"
"0.00525","0.004115","","6.794277e-05"
"0.0055","0.004115","","7.103107e-05"
"0.00575","0.004115","","7.411938e-05"
"0.006","0.004115","3.002","7.720769e-05"
"0.00625","0.0040945","","8.028061e-05"
"0.0065","0.004074","","8.333815e-05"
"0.00675","0.0040535","","8.63803e-05"
"0.007","0.004033","3.002","8.940707e-05"
"0.00725","0.0040535","","9.244922e-05"
"0.0075","0.004074","","9.550675e-05"
"0.00775","0.0040945","","9.857968e-05"
"0.008","0.004115","3.002","0.000101668"
"0.00825","0.004115","","0.0001047553"
"0.0085","0.004115","","0.0001078425"
"0.00875","0.004115","","0.0001109298"
"0.009","0.004115","3.001","0.0001140171"
"0.00925","0.004115","","0.0001171054"
"0.0095","0.004115","","0.0001201937"
"0.00975","0.004115","","0.000123282"
"0.01","0.004115","3.002","0.0001263703"
"0.01025","0.0040945","","0.0001294433"
"0.0105","0.004074","","0.0001325008"
"0.01075","0.0040535","","0.0001355429"
"0.011","0.004033","3.002","0.0001385697"
"0.01125","0.0040535","","0.0001416119"
"0.0115","0.004074","","0.0001446694"
"0.01175","0.0040945","","0.0001477423"
"0.012","0.004115","3.002","0.0001508306"
"0.01225","0.00413525","","0.0001539341"
