Capture number,Delta E(J),Time (s),Ecart à la moyenne (J)
1,124.60643649999999,1.5129999999999997,
2,125.1999,1.5139999999999998,
3,124.59130000000002,1.5040000000000004,
4,124.85000000000002,1.513,
5,124.78139999999996,1.513,
6,124.76100000000008,1.5140000000000011,
7,124.71500000000003,1.5139999999999993,
8,124.54309999999975,1.5030000000000001,
9,124.86099999999999,1.5139999999999993,
10,124.84100000000012,1.5129999999999981,
Average and ecart type,124.77501365,1.5114999999999998,0.17823886267286035
