Capture number,Delta E(J),Time (s),Ecart à la moyenne (J)
1,74.8874078,1.173,
2,74.79777000000001,1.1719999999999997,
3,74.77610000000001,1.1719999999999988,
4,74.79679999999999,1.1719999999999988,
5,74.76749999999998,1.1719999999999988,
6,74.70349999999996,1.1720000000000006,
7,74.78520000000003,1.1729999999999983,
8,75.4624,1.1729999999999983,
9,75.33190000000002,1.1729999999999983,
10,74.91539999999998,1.1730000000000018,
Average and ecart type,74.92239778000001,1.1724999999999994,0.24576624074749998
