"Timestamp (S)","Arc Main Current (A)","Arc Main Voltage (V)","Arc Main Energy (J)","Arc UART (TXT)"
"0","0.004196","3.003","3.150147e-06",""
"0.00025","0.00417575","","6.284047e-06",""
"0.0005","0.0041555","","9.40275e-06",""
"0.00075","0.00413525","","1.250626e-05",""
"0.001","0.004115","3.002","1.559456e-05",""
"0.00125","0.00413525","","1.86991e-05",""
"0.0015","0.0041555","","2.181884e-05",""
"0.00175","0.00417575","","2.495379e-05",""
"0.002","0.004196","3.003","2.810393e-05",""
"0.00225","0.00417575","","3.123783e-05",""
"0.0025","0.0041555","","3.435654e-05",""
"0.00275","0.00413525","","3.746004e-05",""
"0.003","0.004115","3.002","4.054835e-05",""
"0.00325","0.0040945","","4.362127e-05",""
"0.0035","0.004074","","4.667881e-05",""
"0.00375","0.0040535","","4.972096e-05",""
"0.004","0.004033","3.002","5.274773e-05",""
"0.00425","0.0040535","","5.578988e-05",""
"0.0045","0.004074","","5.884742e-05",""
"0.00475","0.0040945","","6.192034e-05",""
"0.005","0.004115","3.002","6.500865e-05",""
"0.00525","0.004115","","6.809695e-05",""
"0.0055","0.004115","","7.118526e-05",""
"0.00575","0.004115","","7.427357e-05",""
"0.006","0.004115","3.002","7.736188e-05",""
"0.00625","0.004115","","8.045018e-05",""
"0.0065","0.004115","","8.353849e-05",""
"0.00675","0.004115","","8.66268e-05",""
"0.007","0.004115","3.002","8.971511e-05",""
"0.00725","0.00413525","","9.281965e-05",""
"0.0075","0.0041555","","9.593939e-05",""
"0.00775","0.00417575","","9.907433e-05",""
"0.008","0.004196","3.003","0.0001022245",""
"0.00825","0.004196","","0.0001053736",""
"0.0085","0.004196","","0.0001085227",""
"0.00875","0.004196","","0.0001116718",""
"0.009","0.004196","3.002","0.0001148209",""
"0.00925","0.00417575","","0.0001179548",""
"0.0095","0.0041555","","0.0001210735",""
"0.00975","0.00413525","","0.000124177",""
"0.01","0.004115","3.002","0.0001272653",""
"0.01025","0.004115","","0.0001303536",""
"0.0105","0.004115","","0.0001334419",""
"0.01075","0.004115","","0.0001365302",""
"0.011","0.004115","3.002","0.0001396185",""
"0.01125","0.004115","","0.0001427068",""
"0.0115","0.004115","","0.0001457951",""
"0.01175","0.004115","","0.0001488834",""
"0.012","0.004115","3.002","0.0001519717",""
"0.01225","0.00413525","","0.0001550753",""
"0.0125","0.0041555","","0.000158194",""
"0.01275","0.00417575","","0.0001613279",""
"0.013","0.004196","3.002","0.000164477",""
"0.01325","0.00417575","","0.0001676098",""
"0.0135","0.0041555","","0.0001707275",""
"0.01375","0.00413525","","0.0001738299",""
"0.014","0.004115","3.001","0.0001769172",""
"0.01425","0.004115","","0.0001800055",""
"0.0145","0.004115","","0.0001830938",""
"0.01475","0.004115","","0.0001861821",""
"0.015","0.004115","3.002","0.0001892705",""
"0.01525","0.00413525","","0.000192374",""
"0.0155","0.0041555","","0.0001954927",""
"0.01575","0.00417575","","0.0001986266",""
"0.016","0.004196","3.002","0.0002017757",""
"0.01625","0.0042165","","0.0002049401",""
"0.0165","0.004237","","0.00020812",""
"0.01675","0.0042575","","0.0002113153",""
"0.017","0.004278","3.002","0.0002145259",""
"0.01725","0.00423725","","0.000217706",""
"0.0175","0.0041965","","0.0002208554",""
"0.01775","0.00415575","","0.0002239743",""
"0.018","0.004115","3.002","0.0002270626",""
"0.01825","0.00413525","","0.0002301661",""
"0.0185","0.0041555","","0.0002332848",""
"0.01875","0.00417575","","0.0002364187",""
"0.019","0.004196","3.002","0.0002395678",""
"0.01925","0.004196","","0.0002427169",""
"0.0195","0.004196","","0.000245866",""
"0.01975","0.004196","","0.0002490151",""
"0.02","0.004196","3.002","0.0002521642",""
"0.02025","0.004196","","0.0002553133",""
"0.0205","0.004196","","0.0002584624",""
"0.02075","0.004196","","0.0002616115",""
"0.021","0.004196","3.002","0.0002647606",""
"0.02125","0.00417575","","0.0002678945",""
"0.0215","0.0041555","","0.0002710132",""
"0.02175","0.00413525","","0.0002741167",""
"0.022","0.004115","3.002","0.000277205",""
"0.02225","0.00413525","","0.0002803085",""
"0.0225","0.0041555","","0.0002834272",""
"0.02275","0.00417575","","0.0002865611",""
"0.023","0.004196","3.002","0.0002897102",""
"0.02325","0.00417575","","0.0002928441",""
"0.0235","0.0041555","","0.0002959628",""
"0.02375","0.00413525","","0.0002990664",""
"0.024","0.004115","3.002","0.0003021547",""
"0.02425","0.004115","","0.000305243",""
"0.0245","0.004115","","0.0003083313",""
"0.02475","0.004115","","0.0003114196",""
"0.025","0.004115","3.002","0.0003145079",""
"0.02525","0.00413525","","0.0003176114",""
"0.0255","0.0041555","","0.0003207301",""
"0.02575","0.00417575","","0.000323864",""
"0.026","0.004196","3.002","0.0003270131",""
"0.02625","0.004196","","0.0003301622",""
"0.0265","0.004196","","0.0003333113",""
"0.02675","0.004196","","0.0003364604",""
"0.027","0.004196","3.002","0.0003396095",""
"0.02725","0.00415525","","0.000342728",""
"0.0275","0.0041145","","0.0003458159",""
"0.02775","0.00407375","","0.0003488733",""
"0.028","0.004033","3.002","0.0003519001",""
"0.02825","0.0040535","","0.0003549422",""
"0.0285","0.004074","","0.0003579997",""
"0.02875","0.0040945","","0.0003610727",""
"0.029","0.004115","3.002","0.000364161",""
"0.02925","0.004115","","0.0003672493",""
"0.0295","0.004115","","0.0003703376",""
"0.02975","0.004115","","0.0003734259",""
"0.03","0.004115","3.002","0.0003765142",""
"0.03025","0.00413525","","0.0003796177",""
"0.0305","0.0041555","","0.0003827364",""
"0.03075","0.00417575","","0.0003858703",""
"0.031","0.004196","3.002","0.0003890194",""
"0.03125","0.0042165","","0.0003921839",""
"0.0315","0.004237","","0.0003953638",""
"0.03175","0.0042575","","0.000398559",""
"0.032","0.004278","3.002","0.0004017696",""
"0.03225","0.00423725","","0.0004049508",""
"0.0325","0.0041965","","0.0004081013",""
"0.03275","0.00415575","","0.0004112212",""
"0.033","0.004115","3.003","0.0004143106",""
"0.03325","0.004115","","0.0004173989",""
"0.0335","0.004115","","0.0004204872",""
"0.03375","0.004115","","0.0004235755",""
"0.034","0.004115","3.002","0.0004266638",""
"0.03425","0.004115","","0.0004297521",""
"0.0345","0.004115","","0.0004328404",""
"0.03475","0.004115","","0.0004359287",""
"0.035","0.004115","3.002","0.000439017",""
"0.03525","0.004115","","0.0004421053",""
"0.0355","0.004115","","0.0004451936",""
"0.03575","0.004115","","0.0004482819",""
"0.036","0.004115","3.002","0.0004513702",""
"0.03625","0.004115","","0.0004544575",""
"0.0365","0.004115","","0.0004575448",""
"0.03675","0.004115","","0.0004606321",""
"0.037","0.004115","3.001","0.0004637194",""
"0.03725","0.004115","","0.0004668077",""
"0.0375","0.004115","","0.000469896",""
"0.03775","0.004115","","0.0004729843",""
"0.038","0.004115","3.002","0.0004760726",""
"0.03825","0.00413525","","0.0004791761",""
"0.0385","0.0041555","","0.0004822948",""
"0.03875","0.00417575","","0.0004854287",""
"0.039","0.004196","3.002","0.0004885778",""
"0.03925","0.004196","","0.0004917269",""
"0.0395","0.004196","","0.000494876",""
"0.03975","0.004196","","0.0004980251",""
"0.04","0.004196","3.002","0.0005011742",""
"0.04025","0.00417575","","0.0005043081",""
"0.0405","0.0041555","","0.0005074268",""
"0.04075","0.00413525","","0.0005105303",""
"0.041","0.004115","3.002","0.0005136186",""
"0.04125","0.004115","","0.0005167069",""
"0.0415","0.004115","","0.0005197952",""
"0.04175","0.004115","","0.0005228835",""
"0.042","0.004115","3.002","0.0005259718",""
"0.04225","0.00413525","","0.0005290753",""
"0.0425","0.0041555","","0.000532194",""
"0.04275","0.00417575","","0.0005353279",""
"0.043","0.004196","3.002","0.000538477",""
"0.04325","0.004196","","0.0005416261",""
"0.0435","0.004196","","0.0005447752",""
"0.04375","0.004196","","0.0005479243",""
"0.044","0.004196","3.002","0.0005510734",""
"0.04425","0.00417575","","0.0005542073",""
"0.0445","0.0041555","","0.000557326",""
"0.04475","0.00413525","","0.0005604295",""
"0.045","0.004115","3.002","0.0005635178",""
"0.04525","0.004115","","0.0005666062",""
"0.0455","0.004115","","0.0005696945",""
"0.04575","0.004115","","0.0005727828",""
"0.046","0.004115","3.002","0.0005758711",""
"0.04625","0.004115","","0.0005789594",""
"0.0465","0.004115","","0.0005820477",""
"0.04675","0.004115","","0.000585136",""
"0.047","0.004115","3.002","0.0005882243",""
"0.04725","0.00413525","","0.0005913278",""
"0.0475","0.0041555","","0.0005944465",""
"0.04775","0.00417575","","0.0005975804",""
"0.048","0.004196","3.002","0.0006007295",""
"0.04825","0.00417575","","0.0006038634",""
"0.0485","0.0041555","","0.0006069821",""
"0.04875","0.00413525","","0.0006100856",""
"0.049","0.004115","3.002","0.0006131739",""
"0.04925","0.00413525","","0.0006162774",""
"0.0495","0.0041555","","0.0006193961",""
"0.04975","0.00417575","","0.00062253",""
"0.05","0.004196","3.002","0.0006256791",""
"0.05025","0.00417575","","0.000628813",""
"0.0505","0.0041555","","0.0006319317",""
"0.05075","0.00413525","","0.0006350352",""
"0.051","0.004115","3.002","0.0006381235",""
"0.05125","0.004115","","0.0006412119",""
"0.0515","0.004115","","0.0006443002",""
"0.05175","0.004115","","0.0006473885",""
"0.052","0.004115","3.002","0.0006504768",""
"0.05225","0.00413525","","0.0006535803",""
"0.0525","0.0041555","","0.000656699",""
"0.05275","0.00417575","","0.0006598329",""
"0.053","0.004196","3.002","0.000662982",""
"0.05325","0.00417575","","0.0006661159",""
"0.0535","0.0041555","","0.0006692346",""
"0.05375","0.00413525","","0.0006723381",""
"0.054","0.004115","3.002","0.0006754264",""
"0.05425","0.00413525","","0.0006785299",""
"0.0545","0.0041555","","0.0006816486",""
"0.05475","0.00417575","","0.0006847825",""
"0.055","0.004196","3.002","0.0006879316",""
"0.05525","0.004196","","0.0006910807",""
"0.0555","0.004196","","0.0006942298",""
"0.05575","0.004196","","0.0006973789",""
"0.056","0.004196","3.002","0.000700528",""
"0.05625","0.004196","","0.0007036771",""
"0.0565","0.004196","","0.0007068262",""
"0.05675","0.004196","","0.0007099753",""
"0.057","0.004196","3.002","0.0007131244",""
"0.05725","0.004196","","0.0007162735",""
"0.0575","0.004196","","0.0007194226",""
"0.05775","0.004196","","0.0007225717",""
"0.058","0.004196","3.002","0.0007257208",""
"0.05825","0.004196","","0.0007288699",""
"0.0585","0.004196","","0.000732019",""
"0.05875","0.004196","","0.0007351681",""
"0.059","0.004196","3.002","0.0007383172",""
"0.05925","0.00417575","","0.0007414511",""
"0.0595","0.0041555","","0.0007445698",""
"0.05975","0.00413525","","0.0007476733",""
"0.06","0.004115","3.002","0.0007507616",""
"0.06025","0.004115","","0.0007538499",""
"0.0605","0.004115","","0.0007569382",""
"0.06075","0.004115","","0.0007600265",""
"0.061","0.004115","3.002","0.0007631148",""
"0.06125","0.0040945","","0.0007661877",""
"0.0615","0.004074","","0.0007692453",""
"0.06175","0.0040535","","0.0007722874",""
"0.062","0.004033","3.002","0.0007753142",""
"0.06225","0.004033","","0.000778342",""
"0.0625","0.004033","","0.0007813697",""
"0.06275","0.004033","","0.0007843975",""
"0.063","0.004033","3.003","0.0007874253",""
"0.06325","0.00407375","","0.0007904826",""
"0.0635","0.0041145","","0.0007935706",""
"0.06375","0.00415525","","0.0007966891",""
"0.064","0.004196","3.002","0.0007998382",""
"0.06425","0.00417575","","0.0008029721",""
"0.0645","0.0041555","","0.0008060908",""
"0.06475","0.00413525","","0.0008091943",""
"0.065","0.004115","3.002","0.0008122826",""
"0.06525","0.00413525","","0.0008153861",""
"0.0655","0.0041555","","0.0008185048",""
"0.06575","0.00417575","","0.0008216387",""
"0.066","0.004196","3.002","0.0008247878",""
"0.06625","0.004196","","0.0008279369",""
"0.0665","0.004196","","0.000831086",""
"0.06675","0.004196","","0.0008342351",""
"0.067","0.004196","3.002","0.0008373842",""
"0.06725","0.00417575","","0.0008405181",""
"0.0675","0.0041555","","0.0008436368",""
"0.06775","0.00413525","","0.0008467403",""
"0.068","0.004115","3.002","0.0008498286",""
"0.06825","0.004115","","0.0008529169",""
"0.0685","0.004115","","0.0008560052",""
"0.06875","0.004115","","0.0008590935",""
"0.069","0.004115","3.002","0.0008621819",""
"0.06925","0.0040945","","0.0008652548",""
"0.0695","0.004074","","0.0008683123",""
"0.06975","0.0040535","","0.0008713545",""
"0.07","0.004033","3.002","0.0008743812",""
"0.07025","0.004033","","0.000877408",""
"0.0705","0.004033","","0.0008804348",""
"0.07075","0.004033","","0.0008834615",""
"0.071","0.004033","3.002","0.0008864883",""
"0.07125","0.0040535","","0.0008895304",""
"0.0715","0.004074","","0.000892588",""
"0.07175","0.0040945","","0.0008956609",""
"0.072","0.004115","3.002","0.0008987492",""
"0.07225","0.004115","","0.0009018386",""
"0.0725","0.004115","","0.0009049279",""
"0.07275","0.004115","","0.0009080172",""
"0.073","0.004115","3.003","0.0009111066",""
"0.07325","0.00413525","","0.0009142101",""
"0.0735","0.0041555","","0.0009173288",""
"0.07375","0.00417575","","0.0009204627",""
"0.074","0.004196","3.002","0.0009236118",""
"0.07425","0.00417575","","0.0009267457",""
"0.0745","0.0041555","","0.0009298644",""
"0.07475","0.00413525","","0.0009329679",""
"0.075","0.004115","3.002","0.0009360562",""
"0.07525","0.00413525","","0.0009391597",""
"0.0755","0.0041555","","0.0009422784",""
"0.07575","0.00417575","","0.0009454123",""
"0.076","0.004196","3.002","0.0009485614",""
"0.07625","0.004196","","0.0009517115",""
"0.0765","0.004196","","0.0009548617",""
"0.07675","0.004196","","0.0009580118",""
"0.077","0.004196","3.003","0.000961162",""
"0.07725","0.00417575","","0.0009642948",""
"0.0775","0.0041555","","0.0009674125",""
"0.07775","0.00413525","","0.000970515",""
"0.078","0.004115","3.001","0.0009736022",""
"0.07825","0.00415575","","0.0009767211",""
"0.0785","0.0041965","","0.0009798706",""
"0.07875","0.00423725","","0.0009830507",""
"0.079","0.004278","3.002","0.0009862613",""
"0.07925","0.004278","","0.000989473",""
"0.0795","0.004278","","0.0009926847",""
"0.07975","0.004278","","0.0009958964",""
"0.08","0.004278","3.003","0.0009991081",""
"0.08025","0.00423725","","0.001002288",""
"0.0805","0.0041965","","0.001005438",""
"0.08075","0.00415575","","0.001008557",""
"0.081","0.004115","3.002","0.001011645",""
"0.08125","0.004115","","0.001014733",""
"0.0815","0.004115","","0.001017821",""
"0.08175","0.004115","","0.00102091",""
"0.082","0.004115","3.002","0.001023998",""
"0.08225","0.00413525","","0.001027102",""
"0.0825","0.0041555","","0.00103022",""
"0.08275","0.00417575","","0.001033354",""
"0.083","0.004196","3.002","0.001036503",""
"0.08325","0.004196","","0.001039653",""
"0.0835","0.004196","","0.001042804",""
"0.08375","0.004196","","0.001045954",""
"0.084","0.004196","3.003","0.001049104",""
"0.08425","0.00417575","","0.001052239",""
"0.0845","0.0041555","","0.001055359",""
"0.08475","0.00413525","","0.001058463",""
"0.085","0.004115","3.003","0.001061552",""
"0.08525","0.00413525","","0.001064657",""
"0.0855","0.0041555","","0.001067777",""
"0.08575","0.00417575","","0.001070912",""
"0.086","0.004196","3.003","0.001074062",""
"0.08625","0.004196","","0.001077211",""
"0.0865","0.004196","","0.00108036",""
"0.08675","0.004196","","0.001083509",""
"0.087","0.004196","3.002","0.001086658",""
"0.08725","0.00417575","","0.001089792",""
"0.0875","0.0041555","","0.001092911",""
"0.08775","0.00413525","","0.001096014",""
"0.088","0.004115","3.002","0.001099103",""
"0.08825","0.004115","","0.001102191",""
"0.0885","0.004115","","0.001105279",""
"0.08875","0.004115","","0.001108368",""
"0.089","0.004115","3.002","0.001111456",""
"0.08925","0.004115","","0.001114544",""
"0.0895","0.004115","","0.001117632",""
"0.08975","0.004115","","0.001120721",""
"0.09","0.004115","3.002","0.001123809",""
"0.09025","0.00413525","","0.001126913",""
"0.0905","0.0041555","","0.001130031",""
"0.09075","0.00417575","","0.001133165",""
"0.091","0.004196","3.002","0.001136314",""
"0.09125","0.0042165","","0.001139479",""
"0.0915","0.004237","","0.001142659",""
"0.09175","0.0042575","","0.001145854",""
"0.092","0.004278","3.002","0.001149065",""
"0.09225","0.00423725","","0.001152245",""
"0.0925","0.0041965","","0.001155394",""
"0.09275","0.00415575","","0.001158513",""
"0.093","0.004115","3.002","0.001161601",""
"0.09325","0.00413525","","0.001164706",""
"0.0935","0.0041555","","0.001167826",""
"0.09375","0.00417575","","0.00117096",""
"0.094","0.004196","3.003","0.001174111",""
"0.09425","0.00417575","","0.001177246",""
"0.0945","0.0041555","","0.001180365",""
"0.09475","0.00413525","","0.00118347",""
"0.095","0.004115","3.003","0.001186559",""
"0.09525","0.004115","","0.001189649",""
"0.0955","0.004115","","0.001192738",""
"0.09575","0.004115","","0.001195827",""
"0.096","0.004115","3.003","0.001198917",""
"0.09625","0.004115","","0.001202005",""
"0.0965","0.004115","","0.001205093",""
"0.09675","0.004115","","0.001208181",""
"0.097","0.004115","3.002","0.00121127",""
"0.09725","0.004115","","0.001214358",""
"0.0975","0.004115","","0.001217446",""
"0.09775","0.004115","","0.001220535",""
"0.098","0.004115","3.002","0.001223623",""
"0.09825","0.00413525","","0.001226728",""
"0.0985","0.0041555","","0.001229847",""
"0.09875","0.00417575","","0.001232982",""
"0.099","0.004196","3.003","0.001236132",""
"0.09925","0.0042165","","0.001239298",""
"0.0995","0.004237","","0.001242479",""
"0.09975","0.0042575","","0.001245675",""
"0.1","0.004278","3.003","0.001248887",""
"0.10025","0.004278","","0.001252099",""
"0.1005","0.004278","","0.00125531",""
"0.10075","0.004278","","0.001258522",""
"0.101","0.004278","3.003","0.001261734",""
"0.10125","0.0042575","","0.001264929",""
"0.1015","0.004237","","0.001268109",""
"0.10175","0.0042165","","0.001271273",""
