Capture number,Total energy (mJ),Ecart type Total energy,Total time (s),Ecart type Total time,Total time lora (s),+
1,370.610632941,0.04150435310003786,1.7,0.0,1.294,0
2,370.53147,0.12066729410003063,1.6999999999999997,2.220446049250313e-16,1.2949999999999997,0
3,370.5572000000001,0.09493729409996376,1.700000000000001,1.1102230246251565e-15,1.2940000000000014,0
4,370.6266,0.025537294100047347,1.7000000000000002,2.220446049250313e-16,1.2960000000000003,0
5,370.34753,0.3046072941000375,1.6999999999999997,2.220446049250313e-16,1.295,0
6,370.3166,0.3355372941000496,1.6999999999999993,6.661338147750939e-16,1.295,0
7,370.4616,0.1905372941000678,1.7000000000000006,6.661338147750939e-16,1.294,0
8,370.62690999999995,0.025227294100091058,1.7000000000000002,2.220446049250313e-16,1.2950000000000004,0
9,370.54941999999994,0.10271729410010266,1.6999999999999997,2.220446049250313e-16,1.295,0
10,371.89341,1.2412727058999735,1.7,0.0,1.295,0
average,370.65213729410004,0.42656406077793974,1.7,0.42656406077793974,0
legend_graph_2,delta E measure sensor:(mJ),9.940586941,delta E build_light:(mJ),5.984426000000001,delta E send lora:(mJ),354.68562
