"Timestamp (S)","Arc Main Current (A)","Arc Main Voltage (V)","Arc Main Energy (J)","Arc UART (TXT)"
"0","0.010581","2.997","7.927814e-06",""
"0.00025","0.010581","","7.927814e-06",""
"0.0005","0.010581","","1.585563e-05",""
"0.00075","0.010581","","2.378344e-05",""
"0.001","0.010581","2.997","3.171126e-05",""
"0.00125","0.010663","","3.969784e-05",""
"0.0015","0.010745","","4.774585e-05",""
"0.00175","0.010827","","5.585527e-05",""
"0.002","0.010909","2.996","6.402611e-05",""
"0.00225","0.010909","","7.219968e-05",""
"0.0025","0.010909","","8.037325e-05",""
"0.00275","0.010909","","8.854682e-05",""
"0.003","0.010909","2.997","9.672039e-05",""
"0.00325","0.010868","","0.0001048632",""
"0.0035","0.010827","","0.0001129754",""
"0.00375","0.010786","","0.0001210568",""
"0.004","0.010745","2.997","0.0001291075",""
"0.00425","0.0107245","","0.0001371401",""
"0.0045","0.010704","","0.0001451574",""
"0.00475","0.0106835","","0.0001531594",""
"0.005","0.010663","2.996","0.0001611459",""
"0.00525","0.01051975","","0.0001690279",""
"0.0055","0.0103765","","0.0001768025",""
"0.00575","0.01023325","","0.0001844697",""
"0.006","0.01009","2.997","0.0001920297",""
"0.00625","0.009865","","0.0001994185",""
"0.0065","0.00964","","0.0002066389",""
"0.00675","0.009415","","0.0002136907",""
"0.007","0.00919","2.996","0.000220574",""
"0.00725","0.00919","","0.0002274574",""
"0.0075","0.00919","","0.0002343407",""
"0.00775","0.00919","","0.000241224",""
"0.008","0.00919","2.996","0.0002481073",""
"0.00825","0.009149","","0.0002549599",""
"0.0085","0.009108","","0.0002617818",""
"0.00875","0.009067","","0.000268573",""
"0.009","0.009026","2.996","0.0002753334",""
"0.00925","0.0092715","","0.0002822801",""
"0.0095","0.009517","","0.0002894107",""
"0.00975","0.0097625","","0.0002967253",""
"0.01","0.010008","2.997","0.0003042238",""
"0.01025","0.01021275","","0.0003118757",""
"0.0105","0.0104175","","0.000319681",""
"0.01075","0.01062225","","0.0003276397",""
"0.011","0.010827","2.997","0.0003357518",""
"0.01125","0.0108065","","0.0003438486",""
"0.0115","0.010786","","0.00035193",""
"0.01175","0.0107655","","0.0003599961",""
"0.012","0.010745","2.997","0.0003680468",""
"0.01225","0.0107655","","0.0003761101",""
"0.0125","0.010786","","0.0003841888",""
"0.01275","0.0108065","","0.0003922829",""
"0.013","0.010827","2.996","0.0004003923",""
"0.01325","0.010786","","0.0004084737",""
"0.0135","0.010745","","0.0004165244",""
"0.01375","0.010704","","0.0004245444",""
"0.014","0.010663","2.997","0.0004325336",""
"0.01425","0.010663","","0.0004405229",""
"0.0145","0.010663","","0.0004485121",""
"0.01475","0.010663","","0.0004565014",""
"0.015","0.010663","2.997","0.0004644907",""
"0.01525","0.0106425","","0.0004724645",""
"0.0155","0.010622","","0.0004804231",""
"0.01575","0.0106015","","0.0004883663",""
"0.016","0.010581","2.997","0.0004962941",""
"0.01625","0.0102535","","0.0005039765",""
"0.0165","0.009926","","0.0005114136",""
"0.01675","0.0095985","","0.0005186052",""
"0.017","0.009271","2.997","0.0005255515",""
"0.01725","0.00920975","","0.0005324519",""
"0.0175","0.0091485","","0.0005393065",""
"0.01775","0.00908725","","0.0005461151",""
"0.018","0.009026","2.997","0.0005528778",""
"0.01825","0.0092305","","0.0005597938",""
"0.0185","0.009435","","0.0005668629",""
"0.01875","0.0096395","","0.0005740853",""
"0.019","0.009844","2.997","0.0005814609",""
"0.01925","0.01008975","","0.0005890207",""
"0.0195","0.0103355","","0.0005967646",""
"0.01975","0.01058125","","0.0006046926",""
"0.02","0.010827","2.997","0.0006128047",""
"0.02025","0.010827","","0.0006209168",""
"0.0205","0.010827","","0.000629029",""
"0.02075","0.010827","","0.0006371411",""
"0.021","0.010827","2.997","0.0006452532",""
"0.02125","0.010827","","0.0006533626",""
"0.0215","0.010827","","0.0006614721",""
"0.02175","0.010827","","0.0006695815",""
"0.022","0.010827","2.996","0.0006776909",""
"0.02225","0.010786","","0.0006857723",""
"0.0225","0.010745","","0.000693823",""
"0.02275","0.010704","","0.000701843",""
"0.023","0.010663","2.997","0.0007098322",""
"0.02325","0.0106425","","0.0007178035",""
"0.0235","0.010622","","0.0007257593",""
"0.02375","0.0106015","","0.0007336999",""
"0.024","0.010581","2.996","0.000741625",""
"0.02425","0.010622","","0.0007495836",""
"0.0245","0.010663","","0.0007575728",""
"0.02475","0.010704","","0.0007655928",""
"0.025","0.010745","2.997","0.0007736435",""
"0.02525","0.010745","","0.0007816942",""
"0.0255","0.010745","","0.0007897449",""
"0.02575","0.010745","","0.0007977956",""
"0.026","0.010745","2.997","0.0008058462",""
"0.02625","0.01031525","","0.0008135724",""
"0.0265","0.0098855","","0.0008209766",""
"0.02675","0.00945575","","0.000828059",""
"0.027","0.009026","2.996","0.0008348194",""
"0.02725","0.0090465","","0.0008415953",""
"0.0275","0.009067","","0.0008483864",""
"0.02775","0.0090875","","0.000855193",""
"0.028","0.009108","2.996","0.0008620149",""
"0.02825","0.00918975","","0.000868898",""
"0.0285","0.0092715","","0.0008758424",""
"0.02875","0.00935325","","0.0008828479",""
"0.029","0.009435","2.996","0.0008899148",""
"0.02925","0.009783","","0.0008972447",""
"0.0295","0.010131","","0.0009048353",""
"0.02975","0.010479","","0.0009126867",""
"0.03","0.010827","2.997","0.0009207988",""
"0.03025","0.0108065","","0.0009288929",""
"0.0305","0.010786","","0.0009369716",""
"0.03075","0.0107655","","0.000945035",""
"0.031","0.010745","2.996","0.000953083",""
"0.03125","0.0107245","","0.0009611156",""
"0.0315","0.010704","","0.0009691329",""
"0.03175","0.0106835","","0.0009771349",""
"0.032","0.010663","2.996","0.0009851215",""
"0.03225","0.010663","","0.000993108",""
"0.0325","0.010663","","0.001001095",""
"0.03275","0.010663","","0.001009081",""
"0.033","0.010663","2.996","0.001017068",""
"0.03325","0.0106425","","0.001025042",""
"0.0335","0.010622","","0.001033",""
"0.03375","0.0106015","","0.001040943",""
"0.034","0.010581","2.997","0.001048871",""
"0.03425","0.010622","","0.00105683",""
"0.0345","0.010663","","0.001064819",""
"0.03475","0.010704","","0.001072839",""
"0.035","0.010745","2.997","0.00108089",""
"0.03525","0.010745","","0.001088938",""
"0.0355","0.010745","","0.001096986",""
"0.03575","0.010745","","0.001105034",""
"0.036","0.010745","2.996","0.001113082",""
"0.03625","0.0104175","","0.001120887",""
"0.0365","0.01009","","0.001128447",""
"0.03675","0.0097625","","0.001135761",""
"0.037","0.009435","2.997","0.001142831",""
"0.03725","0.00931225","","0.001149808",""
"0.0375","0.0091895","","0.001156693",""
"0.03775","0.00906675","","0.001163486",""
"0.038","0.008944","2.997","0.001170188",""
"0.03825","0.00902575","","0.00117695",""
"0.0385","0.0091075","","0.001183774",""
"0.03875","0.00918925","","0.001190659",""
"0.039","0.009271","2.997","0.001197605",""
"0.03925","0.00966","","0.001204843",""
"0.0395","0.010049","","0.001212372",""
"0.03975","0.010438","","0.001220193",""
"0.04","0.010827","2.997","0.001228305",""
"0.04025","0.0108065","","0.001236402",""
"0.0405","0.010786","","0.001244483",""
"0.04075","0.0107655","","0.001252549",""
"0.041","0.010745","2.997","0.0012606",""
"0.04125","0.010704","","0.00126862",""
"0.0415","0.010663","","0.001276609",""
"0.04175","0.010622","","0.001284568",""
"0.042","0.010581","2.997","0.001292496",""
"0.04225","0.010663","","0.001300482",""
"0.0425","0.010745","","0.00130853",""
"0.04275","0.010827","","0.00131664",""
"0.043","0.010909","2.996","0.00132481",""
"0.04325","0.010909","","0.001332981",""
"0.0435","0.010909","","0.001341152",""
"0.04375","0.010909","","0.001349323",""
"0.044","0.010909","2.996","0.001357494",""
"0.04425","0.010868","","0.001365634",""
"0.0445","0.010827","","0.001373743",""
"0.04475","0.010786","","0.001381822",""
"0.045","0.010745","2.996","0.00138987",""
"0.04525","0.010745","","0.001397921",""
"0.0455","0.010745","","0.001405971",""
"0.04575","0.010745","","0.001414022",""
"0.046","0.010745","2.997","0.001422073",""
"0.04625","0.010479","","0.001429922",""
"0.0465","0.010213","","0.001437571",""
