"Timestamp (S)","Arc Main Current (A)","Arc Main Voltage (V)","Arc Main Energy (J)","Arc UART (TXT)"
"0","0.008617","3.002","6.467059e-06","0\x0a"
"0.00025","0.008842","","1.310298e-05",""
"0.0005","0.009067","","1.990776e-05",""
"0.00075","0.009292","","2.688141e-05",""
"0.001","0.009517","3.002","3.402392e-05",""
"0.00125","0.01009","","4.159646e-05",""
"0.0015","0.010663","","4.959904e-05",""
"0.00175","0.011236","","5.803166e-05",""
"0.002","0.011809","3.002","6.689432e-05",""
"0.00225","0.01185","","7.578774e-05",""
"0.0025","0.011891","","8.471194e-05",""
"0.00275","0.011932","","9.36669e-05",""
"0.003","0.011973","3.002","0.0001026526",""
"0.00325","0.01203425","","0.0001116843",""
"0.0035","0.0120955","","0.000120762",""
"0.00375","0.01215675","","0.0001298857",""
"0.004","0.012218","3.002","0.0001390553",""
"0.00425","0.012218","","0.0001482249",""
"0.0045","0.012218","","0.0001573945",""
"0.00475","0.012218","","0.0001665641",""
"0.005","0.012218","3.002","0.0001757337",""
"0.00525","0.01234075","","0.0001849954",""
"0.0055","0.0124635","","0.0001943493",""
"0.00575","0.01258625","","0.0002037953",""
"0.006","0.012709","3.002","0.0002133334",""
"0.00625","0.012525","","0.0002227334",""
"0.0065","0.012341","","0.0002319953",""
"0.00675","0.012157","","0.0002411191",""
"0.007","0.011973","3.002","0.0002501049",""
"0.00725","0.01182975","","0.0002589831",""
"0.0075","0.0116865","","0.0002677538",""
"0.00775","0.01154325","","0.000276417",""
"0.008","0.0114","3.002","0.0002849727",""
"0.00825","0.011011","","0.0002932365",""
"0.0085","0.010622","","0.0003012083",""
"0.00875","0.010233","","0.0003088882",""
"0.009","0.009844","3.002","0.0003162761",""
"0.00925","0.0098645","","0.0003236794",""
"0.0095","0.009885","","0.0003310981",""
"0.00975","0.0099055","","0.0003385322",""
"0.01","0.009926","3.002","0.0003459816",""
"0.01025","0.01004875","","0.0003535232",""
"0.0105","0.0101715","","0.0003611569",""
"0.01075","0.01029425","","0.0003688828",""
"0.011","0.010417","3.002","0.0003767007",""
"0.01125","0.01068325","","0.0003847185",""
"0.0115","0.0109495","","0.0003929361",""
"0.01175","0.01121575","","0.0004013535",""
"0.012","0.011482","3.002","0.0004099708",""
"0.01225","0.0114615","","0.0004185726",""
"0.0125","0.011441","","0.0004271591",""
"0.01275","0.0114205","","0.0004357302",""
