"Timestamp (S)","Arc Main Current (A)","Arc Main Voltage (V)","Arc Main Energy (J)","Arc UART (TXT)"
"0","0.004524","3.002","3.395262e-06","0\x0a"
"0","","","","0E\x0a"
"0","","","","1\x0a"
"0.00025","0.004524","","6.790524e-06",""
"0.0005","0.004524","","1.018579e-05",""
"0.00075","0.004524","","1.358105e-05",""
"0.001","0.004524","3.002","1.697631e-05","3\x0a"
"0.001","","","","3E\x0a"
"0.001","","","","4\x0a"
"0.001","","","","4E\x0a"
"0.001","","","","5\x0a"
"0.00125","0.004524","","2.037157e-05",""
"0.0015","0.0067955","","2.54699e-05",""
"0.00175","0.009067","","3.227241e-05",""
"0.002","0.0113385","3.002","4.077912e-05",""
"0.00225","0.01361","","5.099002e-05",""
"0.0025","0.01373275","","6.129645e-05",""
"0.00275","0.0138555","","7.169501e-05",""
"0.003","0.01397825","3.001","8.218568e-05",""
"0.00325","0.014101","","9.276848e-05",""
"0.0035","0.0140395","","0.0001033016",""
"0.00375","0.013978","","0.0001137886",""
"0.004","0.0139165","3.002","0.0001242295",""
"0.00425","0.013855","","0.0001346242",""
"0.0045","0.013855","","0.0001450224",""
"0.00475","0.013855","","0.0001554205",""
"0.005","0.013855","3.001","0.0001658187",""
"0.00525","0.013855","","0.0001762169",""
"0.0055","0.013855","","0.0001866151",""
"0.00575","0.013855","","0.0001970132",""
"0.006","0.013855","3.002","0.0002074114",""
"0.00625","0.013855","","0.0002178096",""
"0.0065","0.013855","","0.0002282078",""
"0.00675","0.013855","","0.000238606",""
"0.007","0.013855","3.002","0.0002490041",""
"0.00725","0.013855","","0.0002594023",""
"0.0075","0.013855","","0.0002698005",""
"0.00775","0.013855","","0.0002801987",""
"0.008","0.013855","3.002","0.0002905968",""
"0.00825","0.013855","","0.000300995",""
"0.0085","0.01383475","","0.000311378",""
"0.00875","0.0138145","","0.0003217458",""
"0.009","0.01379425","3.002","0.0003320984",""
"0.00925","0.013774","","0.0003424358",""
"0.0095","0.01379425","","0.0003527883",""
"0.00975","0.0138145","","0.0003631561",""
"0.01","0.01383475","3.002","0.0003735391",""
"0.01025","0.013855","","0.0003839373",""
"0.0105","0.013855","","0.0003943355",""
"0.01075","0.013855","","0.0004047336",""
"0.011","0.013855","3.002","0.0004151318",""
"0.01125","0.013855","","0.00042553",""
"0.0115","0.013855","","0.0004359282",""
"0.01175","0.013855","","0.0004463263",""
"0.012","0.013855","3.002","0.0004567245",""
"0.01225","0.013855","","0.0004671227",""
"0.0125","0.0138755","","0.0004775363",""
"0.01275","0.013896","","0.0004879652",""
"0.013","0.0139165","3.002","0.0004984095",""
"0.01325","0.013937","","0.0005088693",""
"0.0135","0.013937","","0.000519329",""
"0.01375","0.013937","","0.0005297887",""
"0.014","0.013937","3.002","0.0005402484",""
"0.01425","0.013937","","0.0005507081",""
"0.0145","0.013937","","0.0005611679",""
"0.01475","0.013937","","0.0005716276",""
"0.015","0.013937","3.002","0.0005820873",""
"0.01525","0.013937","","0.000592547",""
"0.0155","0.0139165","","0.0006029913",""
