"Timestamp (S)","Arc Main Current (A)","Arc Main Voltage (V)","Arc Main Energy (J)","Arc UART (TXT)"
"0","0.004196","3.002","3.150147e-06",""
"0.00025","0.004196","","6.300294e-06",""
"0.0005","0.004196","","9.450441e-06",""
"0.00075","0.004196","","1.259954e-05",""
"0.001","0.004196","3.003","1.574864e-05",""
"0.00125","0.004196","","1.889773e-05",""
"0.0015","0.004196","","2.204683e-05",""
"0.00175","0.00417575","","2.518073e-05",""
"0.002","0.0041555","3.002","2.829944e-05",""
"0.00225","0.00413525","","3.140294e-05",""
"0.0025","0.004115","","3.449125e-05",""
"0.00275","0.00413525","","3.759475e-05",""
"0.003","0.0041555","3.002","4.071346e-05",""
"0.00325","0.00417575","","4.384736e-05",""
"0.0035","0.004196","","4.699645e-05",""
"0.00375","0.00417575","","5.013036e-05",""
"0.004","0.0041555","3.002","5.324906e-05",""
"0.00425","0.00413525","","5.635256e-05",""
"0.0045","0.004115","","5.944087e-05",""
"0.00475","0.004115","","6.252918e-05",""
"0.005","0.004115","3.002","6.561749e-05",""
"0.00525","0.004115","","6.870579e-05",""
"0.0055","0.004115","","7.17941e-05",""
"0.00575","0.0040945","","7.486805e-05",""
"0.006","0.004074","3.002","7.79266e-05",""
"0.00625","0.0040535","","8.096977e-05",""
"0.0065","0.004033","","8.399754e-05",""
"0.00675","0.004033","","8.702431e-05",""
"0.007","0.004033","3.003","9.005107e-05",""
"0.00725","0.004033","","9.307784e-05",""
"0.0075","0.004033","","9.610461e-05",""
"0.00775","0.0040535","","9.914676e-05",""
"0.008","0.004074","3.002","0.0001022043",""
"0.00825","0.0040945","","0.0001052772",""
"0.0085","0.004115","","0.0001083655",""
"0.00875","0.00413525","","0.000111469",""
"0.009","0.0041555","3.002","0.0001145877",""
"0.00925","0.00417575","","0.0001177216",""
"0.0095","0.004196","","0.0001208707",""
"0.00975","0.004196","","0.0001240198",""
"0.01","0.004196","3.002","0.0001271689",""
"0.01025","0.004196","","0.000130318",""
"0.0105","0.004196","","0.0001334671",""
"0.01075","0.004196","","0.0001366162",""
"0.011","0.004196","3.002","0.0001397653",""
"0.01125","0.004196","","0.0001429144",""
"0.0115","0.004196","","0.0001460635",""
"0.01175","0.004196","","0.0001492137",""
"0.012","0.004196","3.002","0.0001523638",""
"0.01225","0.004196","","0.000155514",""
"0.0125","0.004196","","0.0001586641",""
"0.01275","0.00417575","","0.000161798",""
"0.013","0.0041555","3.003","0.0001649167",""
"0.01325","0.00413525","","0.0001680202",""
"0.0135","0.004115","","0.0001711085",""
"0.01375","0.004115","","0.0001741968",""
"0.014","0.004115","3.002","0.0001772851",""
"0.01425","0.004115","","0.0001803734",""
"0.0145","0.004115","","0.0001834618",""
"0.01475","0.004115","","0.0001865501",""
"0.015","0.004115","3.002","0.0001896384",""
"0.01525","0.004115","","0.0001927267",""
"0.0155","0.004115","","0.000195815",""
"0.01575","0.004115","","0.0001989033",""
"0.016","0.004115","3.002","0.0002019916",""
"0.01625","0.004115","","0.0002050799",""
"0.0165","0.004115","","0.0002081682",""
"0.01675","0.00413525","","0.0002112717",""
"0.017","0.0041555","3.002","0.0002143904",""
"0.01725","0.00417575","","0.0002175243",""
"0.0175","0.004196","","0.0002206734",""
