Capture number,Delta E(J),Time (s),Ecart à la moyenne (J)
1,296.31445999999994,1.128,
2,296.16290000000004,1.1280000000000001,
3,295.99249999999995,1.1280000000000001,
4,296.03600000000006,1.1280000000000001,
5,296.33400000000006,1.1280000000000037,
6,296.0379999999998,1.1280000000000001,
7,296.09900000000016,1.1280000000000001,
8,296.40599999999995,1.1280000000000001,
9,296.58699999999953,1.1280000000000001,
10,296.5269999999996,1.1280000000000001,
Average and ecart type,296.2496859999999,1.1280000000000006,0.203292342610213
