Capture number,Delta E(J),Time (s),Ecart à la moyenne (J)
1,337.094035,1.3610000000000002,
2,337.3263999999999,1.3609999999999998,
3,337.26929999999993,1.3610000000000007,
4,337.27099999999996,1.3610000000000007,
5,337.558,1.362,
6,337.35699999999997,1.3610000000000007,
7,337.259,1.3610000000000007,
8,337.62599999999975,1.3610000000000007,
9,337.9019999999996,1.3610000000000007,
10,337.66199999999935,1.3610000000000042,
Average and ecart type,337.4324734999999,1.3611000000000009,0.23251403166298523
