"Timestamp (S)","Arc Main Current (A)","Arc Main Voltage (V)","Arc Main Energy (J)","Arc UART (TXT)"
"0","0.004115","3.002","3.088308e-06",""
"0.00025","0.004115","","6.176615e-06",""
"0.0005","0.004115","","9.264923e-06",""
"0.00075","0.004115","","1.235323e-05",""
"0.001","0.004115","3.002","1.544154e-05",""
"0.00125","0.004115","","1.852985e-05",""
"0.0015","0.004115","","2.161815e-05",""
"0.00175","0.004115","","2.470646e-05",""
"0.002","0.0040945","3.002","2.777938e-05",""
"0.00225","0.004074","","3.083692e-05",""
"0.0025","0.0040535","","3.387907e-05",""
"0.00275","0.004033","","3.690584e-05",""
"0.003","0.004033","3.002","3.99326e-05",""
"0.00325","0.004033","","4.295937e-05",""
"0.0035","0.004033","","4.598614e-05",""
"0.00375","0.004033","","4.90129e-05",""
"0.004","0.004033","3.002","5.203967e-05",""
"0.00425","0.004033","","5.506644e-05",""
"0.0045","0.004033","","5.80932e-05",""
"0.00475","0.004033","","6.111997e-05",""
"0.005","0.004033","3.002","6.414674e-05",""
"0.00525","0.004033","","6.71735e-05",""
"0.0055","0.004033","","7.020027e-05",""
"0.00575","0.004033","","7.322704e-05",""
"0.006","0.0040535","3.002","7.626919e-05",""
"0.00625","0.004074","","7.932672e-05",""
"0.0065","0.0040945","","8.239965e-05",""
"0.00675","0.004115","","8.548795e-05",""
"0.007","0.0040945","3.002","8.856088e-05",""
"0.00725","0.004074","","9.161841e-05",""
"0.0075","0.0040535","","9.466056e-05",""
"0.00775","0.004033","","9.768733e-05",""
"0.008","0.004033","3.002","0.0001007141",""
"0.00825","0.004033","","0.0001037409",""
"0.0085","0.004033","","0.0001067676",""
"0.00875","0.004033","","0.0001097944",""
"0.009","0.0040125","3.002","0.0001128058",""
"0.00925","0.003992","","0.0001158018",""
"0.0095","0.0039715","","0.0001187824",""
"0.00975","0.003951","","0.0001217476",""
"0.01","0.0039715","3.002","0.0001247282",""
"0.01025","0.003992","","0.0001277242",""
"0.0105","0.0040125","","0.0001307356",""
"0.01075","0.004033","","0.0001337624",""
"0.011","0.004033","3.002","0.0001367891",""
"0.01125","0.004033","","0.0001398159",""
"0.0115","0.004033","","0.0001428427",""
