Capture number,Delta E(J),Time (s),Ecart à la moyenne (J)
1,282.59200599999997,1.066,
2,282.7531,1.0659999999999998,
3,282.6042000000001,1.0670000000000002,
4,282.8776999999999,1.0659999999999998,
5,282.7450000000001,1.065999999999999,
6,282.6669999999999,1.0670000000000002,
7,282.7650000000001,1.0660000000000007,
8,283.0460000000003,1.065999999999999,
9,283.0020000000004,1.0670000000000002,
10,282.797,1.065999999999999,
Average and ecart type,282.78490060000007,1.0662999999999996,0.14519783925137472
