Capture number,Delta E(J),Time (s),Ecart à la moyenne (J)
1,380.73386999999997,1.526,
2,380.16019999999986,1.5260000000000007,
3,379.83029999999997,1.5260000000000007,
4,380.05300000000034,1.5259999999999998,
5,380.00900000000024,1.5259999999999998,
6,379.99400000000014,1.5260000000000034,
7,379.98900000000003,1.5259999999999998,
8,379.99100000000044,1.527000000000001,
9,379.7909999999997,1.5259999999999998,
10,379.8190000000004,1.5260000000000034,
Average and ecart type,380.0370370000001,1.526100000000001,0.2566865624082875
