Capture number,Delta E(mJ),Time (s),Ecart type (mJ)
1,337.094035,1.3610000000000002,Ecart type energy
2,337.3263999999999,1.3609999999999998,0.23251403166298523
3,337.26929999999993,1.3610000000000007,Ecart type temps
4,337.27099999999996,1.3610000000000007,0.00029999999999975977
5,337.558,1.362,nan
6,337.35699999999997,1.3610000000000007,nan
7,337.259,1.3610000000000007,nan
8,337.62599999999975,1.3610000000000007,nan
9,337.9019999999996,1.3610000000000007,nan
10,337.66199999999935,1.3610000000000042,nan
Average ,337.4324734999999,1.3611000000000009,nan
