Capture number (4 bytes),E encoding message(mJ),E hash message(mJ),E sign message(mJ),E encoding payload(mJ),E tot LTL (mJ),E LRW (mJ)
1,0.0,0.0,4.200162000000001,0.0,4.242402,332.83756
2,0.014100000000041746,0.0,4.191800000000001,0.0,4.248000000000047,333.0783999999999
3,0.01929999999993015,0.0,4.206900000000132,0.041900000000055115,4.268100000000118,333.0011999999998
4,0.0,0.0,4.201000000000022,0.041999999999916326,4.2590000000000146,333.01199999999994
5,0.0,0.0,4.198999999999842,0.0,4.227999999999838,333.288
6,0.0,0.02099999999973079,4.213000000000193,0.0,4.233999999999924,333.067
7,0.0,0.019999999999527063,4.205000000000382,0.0,4.224999999999909,332.97800000000007
8,0.0,0.0,4.206999999999425,0.0,4.224999999999909,333.3449999999998
9,0.0,0.0,4.1609999999996035,0.0,4.181999999999334,333.70300000000043
10,0.0,0.0,4.205000000000382,0.0,4.205000000000382,333.44099999999935
Average ,0.00333999999999719,0.004099999999925785,4.1989861999999984,0.008389999999997145,4.231650199999947,333.17511599999995
,,,,,,
Capture number (88 bytes),E encoding message(mJ),E hash message(mJ),E sign message(mJ),E encoding payload(mJ),E tot LTL (mJ),E LRW (mJ)
1,0.01579000000000086,0.0,4.217879999999997,0.04282000000000252,4.276490000000001,376.45737999999994
2,0.0,0.0,4.213900000000024,0.0,4.242799999999988,375.8747999999998
3,0.0,0.014099999999871216,4.170100000000048,0.0,4.184199999999919,375.5469999999999
4,0.0,0.0,4.185000000000173,0.0,4.251000000000204,375.7460000000001
5,0.0,0.0,4.183999999999969,0.04300000000012005,4.248000000000047,375.7470000000003
6,0.0,0.0,4.204999999999927,0.042999999999665306,4.2479999999995925,375.7320000000004
7,0.018999999999778083,0.0,4.221000000000004,0.04300000000012005,4.282999999999902,375.70600000000013
8,0.0,0.0,4.223000000000411,0.04300000000012005,4.298000000000229,375.6930000000002
9,0.0,0.0,4.217999999999847,0.0,4.235000000000127,375.4989999999998
10,0.0,0.015000000000327418,4.176999999999225,0.0,4.1919999999995525,375.5260000000003
Average ,0.0034789999999778943,0.0029100000000198633,4.201487999999962,0.021482000000002797,4.245848999999956,375.75281800000005
